,Company,Average,Lowest,Highest,Python,aws,sql,keras,pytorch,scikit,tensor,hadoop,tableau,RoleName,Rel-Experience,Total_Exp,Prev-CTC
195,Moody's Investors Service,1024598.0,1239422.0,1322072.0,0,0,0,0,0,0,0,0,0,0,0,6,984978.0
196,OSG Analytics,757506.0,916557.0,977207.0,0,0,0,0,0,0,0,0,0,0,0,3,599192.0
197,Xoanon Analytics,1031710.0,1240523.0,1338751.0,1,1,1,0,0,0,0,1,1,0,0,6,1018402.0
198,JAGUAR LAND ROVER LIMITED,1622818.0,1962508.0,2094536.0,1,0,0,0,0,0,0,0,1,4,0,9,1148322.0
199,Senquire Analytics,899604.0,1077323.0,1171688.0,1,0,1,0,0,0,0,0,0,2,1,4,775168.0
200,Inceptua,258379.0,309602.0,336346.0,0,0,1,0,0,0,0,0,0,0,1,0,122443.0
201,ABC Ltd,1228322.0,1476122.0,1594682.0,1,0,1,0,0,0,0,1,1,1,1,6,1237229.0
202,smartData Enterprises,319219.0,380772.0,417276.0,1,0,0,0,0,0,0,1,0,0,1,0,194530.0
203,Marico Limited,721030.0,860760.0,941814.0,0,0,1,0,0,0,0,0,0,1,1,4,617741.0
204,MariApps,557581.0,670593.0,723359.0,1,0,1,0,0,0,0,1,0,0,0,4,585255.0
205,Ticketmaster,1508243.0,1805475.0,1965132.0,1,1,0,0,0,1,1,0,0,0,0,9,1065986.0
206,AppZen,900925.0,1075471.0,1176842.0,0,0,0,0,0,0,0,0,0,1,1,3,733070.0
207,Rubique,1211551.0,1446581.0,1582297.0,0,0,0,0,0,0,0,0,0,0,0,5,590535.0
208,Uttar Pradesh Power,653661.0,783901.0,850252.0,1,0,1,0,0,0,0,0,1,1,0,4,310661.0
209,Elevate,557241.0,667004.0,726099.0,1,1,1,0,0,0,0,1,0,0,1,4,723243.0
210,3Qi Labs,890041.0,1071153.0,1153950.0,1,0,1,0,0,0,0,0,1,0,0,4,322824.0
211,Prescinto,901920.0,1081615.0,1173186.0,0,0,0,0,0,0,0,0,0,1,0,4,633274.0
212,Crediwatch,154178.0,196196.0,178029.0,0,1,0,0,0,0,0,0,0,0,1,0,201418.0
213,Proven Consult,647127.0,777338.0,840479.0,0,0,0,0,0,0,0,0,0,2,0,4,495717.0
214,Codemasters,185465.0,163584.0,183769.0,1,1,0,0,0,0,0,0,0,0,0,0,166492.0
215,Anunta Technology Management Services,153948.0,195235.0,171491.0,1,0,1,0,0,0,0,0,1,0,0,0,295904.0
